"visibility","datetime","coord.lon","coord.lat","main.temp","main.feels_like","main.temp_min","main.temp_max","main.pressure","main.humidity","main.sea_level","main.grnd_level","wind.speed","wind.deg","wind.gust","clouds.all","sys.sunrise","sys.sunset","weather.id","weather.main","weather.description","weather.icon","extraction_date_time","city_name","sys.type","sys.id","rain.1h"
10000.0,"2023-11-06 15:35:43+08:00",119.9811,16.1561,30.52,36.34,30.52,30.52,1009.0,70.0,1009.0,1007.0,1.82,66.0,2.63,93.0,"2023-11-06 05:58:51+08:00","2023-11-06 17:28:29+08:00",804.0,"Clouds","overcast clouds","04d","2023-11-06 15:45:05.122654+08:00","Alaminos","","",""
10000.0,"2023-11-06 15:45:07+08:00",120.5833,15.15,35.25,42.25,35.25,35.25,1010.0,55.0,"","",3.09,90.0,"",40.0,"2023-11-06 05:55:14+08:00","2023-11-06 17:27:17+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:45:07.511028+08:00","Angeles City",1.0,8152.0,""
10000.0,"2023-11-06 15:45:09+08:00",121.19,15.6181,29.74,34.87,29.74,29.74,1010.0,72.0,1010.0,1001.0,2.89,89.0,5.47,14.0,"2023-11-06 05:53:22+08:00","2023-11-06 17:24:18+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:45:09.096131+08:00","Antipolo","","",""
10000.0,"2023-11-06 15:45:11+08:00",123.5085,12.2285,29.01,34.34,29.01,29.01,1009.0,78.0,1009.0,1008.0,5.41,66.0,7.71,66.0,"2023-11-06 05:40:04+08:00","2023-11-06 17:19:03+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:45:11.662533+08:00","Bacolod","","",""
10000.0,"2023-11-06 15:45:12+08:00",120.929,14.459000000000001,32.05,39.05,30.58,33.99,1009.0,72.0,"","",2.57,100.0,"",20.0,"2023-11-06 05:53:01+08:00","2023-11-06 17:26:44+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:45:12.970057+08:00","Bacoor",2.0,2005706.0,""
10000.0,"2023-11-06 15:45:14+08:00",122.8333,10.5333,29.35,34.8,29.35,29.35,1008.0,76.0,1008.0,1008.0,5.88,17.0,6.99,16.0,"2023-11-06 05:40:47+08:00","2023-11-06 17:23:43+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:45:14.683251+08:00","Bago City","","",""
10000.0,"2023-11-06 15:45:16+08:00",120.5931,16.4164,21.55,21.72,21.55,21.55,1011.0,75.0,1011.0,855.0,0.71,254.0,1.55,45.0,"2023-11-06 05:56:43+08:00","2023-11-06 17:25:43+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:45:16.421231+08:00","Baguio","","",""
10000.0,"2023-11-06 15:35:56+08:00",123.1228,9.5911,30.99,37.88,30.99,30.99,1008.0,71.0,1008.0,1007.0,2.08,51.0,3.31,11.0,"2023-11-06 05:38:33+08:00","2023-11-06 17:23:39+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:45:18.504429+08:00","Bais",1.0,8185.0,""
10000.0,"2023-11-06 15:45:20+08:00",120.5361,14.6761,32.03,39.03,32.03,33.96,1009.0,69.0,1009.0,1008.0,3.2,85.0,5.96,79.0,"2023-11-06 05:54:51+08:00","2023-11-06 17:28:02+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:45:20.043278+08:00","Balanga",1.0,8151.0,""
10000.0,"2023-11-06 15:35:59+08:00",120.5649,18.0554,31.88,38.88,31.88,31.88,1009.0,70.0,"","",3.6,320.0,"",20.0,"2023-11-06 05:58:50+08:00","2023-11-06 17:23:49+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:45:22.502434+08:00","Batac City",1.0,8159.0,""
10000.0,"2023-11-06 15:45:24+08:00",121.05,13.75,30.62,37.62,30.62,30.62,1009.0,74.0,1009.0,1008.0,5.6,125.0,7.35,6.0,"2023-11-06 05:51:42+08:00","2023-11-06 17:27:05+08:00",800.0,"Clear","clear sky","01d","2023-11-06 15:45:25.021073+08:00","Batangas City",2.0,2011004.0,""
10000.0,"2023-11-06 15:36:04+08:00",122.8011,9.3636,30.05,35.66,30.05,30.05,1008.0,72.0,1008.0,1007.0,0.02,20.0,2.44,34.0,"2023-11-06 05:39:34+08:00","2023-11-06 17:25:12+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:45:27.591224+08:00","Bayawan","","",""
10000.0,"2023-11-06 15:45:29+08:00",123.7135,13.4083,28.72,33.58,28.72,28.72,1010.0,78.0,1010.0,1009.0,1.74,82.0,2.71,39.0,"2023-11-06 05:40:38+08:00","2023-11-06 17:16:50+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:45:29.388670+08:00","Baybay","","",""
10000.0,"2023-11-06 15:36:06+08:00",125.7675,8.7561,27.51,32.09,27.51,27.51,1008.0,89.0,1008.0,1000.0,0.63,350.0,0.84,84.0,"2023-11-06 05:27:00+08:00","2023-11-06 17:14:02+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:45:30.720045+08:00","Bayugan","","",""
10000.0,"2023-11-06 15:45:32+08:00",125.0336,11.0725,28.4,32.94,28.4,28.4,1009.0,79.0,1009.0,1008.0,2.32,128.0,4.02,84.0,"2023-11-06 05:32:37+08:00","2023-11-06 17:14:18+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:45:32.050077+08:00","Bislig","","",""
10000.0,"2023-11-06 15:45:33+08:00",121.0807,14.3427,31.55,38.55,30.57,33.98,1010.0,73.0,"","",2.68,91.0,3.13,20.0,"2023-11-06 05:52:16+08:00","2023-11-06 17:26:15+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:45:33.418830+08:00","Biñan",2.0,2084056.0,""
10000.0,"2023-11-06 15:36:12+08:00",124.0055,11.0517,29.17,34.12,29.17,29.17,1008.0,75.0,1008.0,1007.0,2.85,27.0,3.87,59.0,"2023-11-06 05:36:42+08:00","2023-11-06 17:18:26+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:45:35.993617+08:00","Bogo","","",""
10000.0,"2023-11-06 15:36:14+08:00",125.4319,11.6081,28.67,33.26,28.67,28.67,1009.0,77.0,1009.0,1009.0,3.08,48.0,4.87,37.0,"2023-11-06 05:31:39+08:00","2023-11-06 17:12:05+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:45:38.449851+08:00","Borongan","","",""
10000.0,"2023-11-06 15:43:58+08:00",125.5436,8.9492,29.18,34.8,29.18,29.18,1008.0,78.0,1008.0,1007.0,1.57,347.0,3.1,79.0,"2023-11-06 05:28:07+08:00","2023-11-06 17:14:42+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:45:39.748336+08:00","Butuan","","",""
10000.0,"2023-11-06 15:45:41+08:00",125.5344,9.1236,29.31,35.15,29.31,29.31,1008.0,78.0,1008.0,1007.0,2.12,355.0,3.7,50.0,"2023-11-06 05:28:21+08:00","2023-11-06 17:14:33+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:45:41.384225+08:00","Cabadbaran","","",""
10000.0,"2023-11-06 15:45:42+08:00",120.9667,15.4833,30.46,36.73,30.46,30.46,1009.0,72.0,1009.0,1005.0,2.81,134.0,4.14,33.0,"2023-11-06 05:54:06+08:00","2023-11-06 17:25:21+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:45:42.950807+08:00","Cabanatuan City","","",""
10000.0,"2023-11-06 15:45:45+08:00",121.1262,14.2726,31.49,38.49,30.51,33.92,1009.0,77.0,1009.0,1007.0,5.23,88.0,7.93,7.0,"2023-11-06 05:52:00+08:00","2023-11-06 17:26:10+08:00",800.0,"Clear","clear sky","01d","2023-11-06 15:45:45.460786+08:00","Cabuyao",2.0,2084056.0,""
10000.0,"2023-11-06 15:45:46+08:00",123.2856,10.9506,29.16,33.88,29.16,29.16,1009.0,74.0,1009.0,1009.0,2.61,42.0,3.42,79.0,"2023-11-06 05:39:28+08:00","2023-11-06 17:21:26+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:45:46.787858+08:00","Cadiz","","",""
10000.0,"2023-11-06 15:45:47+08:00",124.6472,8.4822,29.13,34.02,29.13,29.13,1008.0,75.0,1008.0,1007.0,1.54,343.0,1.82,36.0,"2023-11-06 05:31:10+08:00","2023-11-06 17:18:50+08:00",802.0,"Clouds","scattered clouds","03d","2023-11-06 15:45:48.005223+08:00","Cagayan de Oro","","",""
10000.0,"2023-11-06 15:45:50+08:00",120.8133,13.9324,30.31,36.33,30.31,30.31,1009.0,72.0,1009.0,1006.0,4.2,112.0,6.64,55.0,"2023-11-06 05:52:51+08:00","2023-11-06 17:27:49+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:45:50.082921+08:00","Calaca","","",""
10000.0,"2023-11-06 15:45:51+08:00",121.1653,14.2117,30.85,37.79,30.51,32.97,1009.0,72.0,1009.0,1008.0,4.76,82.0,7.26,10.0,"2023-11-06 05:51:47+08:00","2023-11-06 17:26:05+08:00",800.0,"Clear","clear sky","01d","2023-11-06 15:45:51.612894+08:00","Calamba",2.0,2084056.0,""
10000.0,"2023-11-06 15:36:30+08:00",121.1803,13.4117,30.62,37.62,30.62,30.62,1009.0,77.0,1009.0,1009.0,4.46,81.0,5.88,23.0,"2023-11-06 05:50:46+08:00","2023-11-06 17:26:58+08:00",801.0,"Clouds","few clouds","02d","2023-11-06 15:45:53.928074+08:00","Calapan",2.0,2011004.0,""
10000.0,"2023-11-06 15:45:55+08:00",124.6,12.0667,28.72,33.97,28.72,28.72,1009.0,80.0,1009.0,1008.0,3.26,65.0,6.55,81.0,"2023-11-06 05:35:30+08:00","2023-11-06 17:14:52+08:00",803.0,"Clouds","broken clouds","04d","2023-11-06 15:45:55.598131+08:00","Calbayog City","","",""
